Slice	time	Mean
846	112.8	4.0
847	112.93333333333334	4.0
848	113.06666666666666	4.0
849	113.2	4.0
850	113.33333333333333	4.0
851	113.46666666666667	4.0
852	113.6	4.0
853	113.73333333333333	4.0
854	113.86666666666666	4.0
855	114.0	4.0
856	114.13333333333334	4.0
857	114.26666666666667	4.0
858	114.4	6.0
859	114.53333333333333	9.5
860	114.66666666666667	26.5
861	114.8	29.5
862	114.93333333333334	27.5
863	115.06666666666666	21.0
864	115.2	17.5
865	115.33333333333333	13.0
866	115.46666666666667	12.5
867	115.6	10.0
868	115.73333333333333	9.5
869	115.86666666666666	8.5
870	116.0	8.0
871	116.13333333333334	9.0
872	116.26666666666667	8.0
873	116.4	6.0
874	116.53333333333333	4.0
875	116.66666666666667	4.0
876	116.8	4.0
877	116.93333333333334	6.0
878	117.06666666666666	6.0
879	117.2	6.0
880	117.33333333333333	6.0
881	117.46666666666667	6.0
882	117.6	6.0
883	117.73333333333333	6.0
884	117.86666666666666	4.0
885	118.0	6.0
886	118.13333333333334	3.5
887	118.26666666666667	2.0
888	118.4	6.0
889	118.53333333333333	4.0
890	118.66666666666667	4.0
891	118.8	2.0
892	118.93333333333334	4.0
893	119.06666666666666	4.0
894	119.2	4.0
895	119.33333333333333	4.0
896	119.46666666666667	3.5
897	119.6	4.0
898	119.73333333333333	4.0
899	119.86666666666666	4.0
900	120.0	3.5
901	120.13333333333334	4.0
902	120.26666666666667	4.0
903	120.4	4.0
904	120.53333333333333	4.0
905	120.66666666666667	4.0
906	120.8	8.0
907	120.93333333333334	12.5
908	121.06666666666666	30.0
909	121.2	30.5
910	121.33333333333333	28.0
911	121.46666666666667	22.5
912	121.6	17.0
913	121.73333333333333	13.0
914	121.86666666666666	10.0
915	122.0	9.0
916	122.13333333333334	9.0
917	122.26666666666667	8.5
918	122.4	8.0
919	122.53333333333333	6.0
920	122.66666666666667	8.0
921	122.8	8.0
922	122.93333333333334	4.0
923	123.06666666666666	4.0
924	123.2	4.0
925	123.33333333333333	7.0
926	123.46666666666667	6.0
927	123.6	6.0
928	123.73333333333333	6.0
929	123.86666666666666	6.5
930	124.0	6.5
931	124.13333333333334	6.0
932	124.26666666666667	6.0
933	124.4	6.0
934	124.53333333333333	6.0
935	124.66666666666667	6.0
936	124.8	6.0
937	124.93333333333334	6.5
938	125.06666666666666	6.5
939	125.2	7.0
940	125.33333333333333	7.0
941	125.46666666666667	7.0
942	125.6	8.0
943	125.73333333333333	6.5
944	125.86666666666666	4.5
945	126.0	4.0
946	126.13333333333334	4.0
947	126.26666666666667	4.0
948	126.4	4.0
949	126.53333333333333	4.0
950	126.66666666666667	4.0
951	126.8	4.0
952	126.93333333333334	4.0
953	127.06666666666666	4.0
954	127.2	4.0
955	127.33333333333333	4.0
956	127.46666666666667	6.5
957	127.6	8.0
958	127.73333333333333	22.0
959	127.86666666666666	28.5
960	128.0	29.0
961	128.13333333333333	24.0
962	128.26666666666668	18.0
963	128.4	15.0
964	128.53333333333333	11.5
965	128.66666666666666	10.0
966	128.8	8.0
967	128.93333333333334	8.5
968	129.06666666666666	6.0
969	129.2	6.0
970	129.33333333333334	6.0
971	129.46666666666667	6.0
972	129.6	6.0
973	129.73333333333332	4.0
974	129.86666666666667	5.5
975	130.0	6.0
976	130.13333333333333	6.0
977	130.26666666666668	4.0
978	130.4	6.0
979	130.53333333333333	6.0
980	130.66666666666666	6.0
981	130.8	6.0
982	130.93333333333334	6.0
983	131.06666666666666	4.0
984	131.2	6.0
985	131.33333333333334	6.0
986	131.46666666666667	4.0
987	131.6	4.0
988	131.73333333333332	6.0
989	131.86666666666667	4.0
990	132.0	4.0
991	132.13333333333333	4.0
992	132.26666666666668	4.0
993	132.4	4.0
994	132.53333333333333	4.0
995	132.66666666666666	4.0
996	132.8	4.0
997	132.93333333333334	4.0
998	133.06666666666666	4.0
999	133.2	4.0
1000	133.33333333333334	4.0
1001	133.46666666666667	4.0
1002	133.6	4.0
1003	133.73333333333332	4.0
1004	133.86666666666667	4.0
1005	134.0	4.0
1006	134.13333333333333	4.0
1007	134.26666666666668	4.0
1008	134.4	4.0
1009	134.53333333333333	6.0
1010	134.66666666666666	8.0
1011	134.8	23.5
1012	134.93333333333334	37.5
1013	135.06666666666666	34.5
1014	135.2	26.0
1015	135.33333333333334	18.0
1016	135.46666666666667	12.0
1017	135.6	11.0
1018	135.73333333333332	9.0
1019	135.86666666666667	7.0
1020	136.0	8.0
1021	136.13333333333333	8.0
1022	136.26666666666668	6.0
1023	136.4	6.0
1024	136.53333333333333	6.0
1025	136.66666666666666	6.0
1026	136.8	6.0
